City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,aykhal,66.0,111.5,-8.19,93,92,5.23,RU,1711935371.012392
155,tabalah,19.95,42.4,13.58,71,0,1.93,SA,1711935371.472045
156,malaga,36.7202,-4.4203,12.77,90,20,2.06,ES,1711935371.9200819
157,college,64.8569,-147.8028,4.18,65,100,8.75,US,1711935372.60029
158,cabanas,22.9758,-82.9219,23.35,73,1,6.44,CU,1711935373.204923
159,kayangel,8.0823,134.7173,27.81,72,15,7.32,PW,1711935373.714853
160,chonchi,-42.6128,-73.8092,5.56,94,21,0.38,CL,1711935374.402328
161,leninskoye,41.7589,69.3864,6.41,45,34,2.01,KZ,1711935375.035135
162,nova vicosa,-17.8919,-39.3719,25.79,89,78,3.72,BR,1711935375.497898
163,aswan,24.0934,32.907,23.61,38,0,2.06,EG,1711935375.94083
164,wad rawah,15.1603,33.1397,24.18,14,40,4.93,SD,1711935376.515828
165,masterton,-40.9597,175.6575,16.6,43,1,1.48,NZ,1711935377.2993212
166,lycksele,64.5954,18.6735,-1.07,93,100,2.57,SE,1711935377.7440798
167,axim,4.8699,-2.2405,27.63,87,75,3.48,GH,1711935378.654502
168,argo,37.6333,22.7333,16.51,54,56,1.49,GR,1711935379.271848
169,key west,24.5557,-81.7826,24.0,73,0,7.2,US,1711935380.333432
170,nouadhibou,20.931,-17.0347,18.99,72,2,7.2,MR,1711935380.773789
171,susuman,62.7833,148.1667,-12.23,81,74,1.34,RU,1711935381.550121
172,santiago de cao,-7.9589,-79.2392,22.07,83,40,5.14,PE,1711935382.002649
173,ryotsu-minato,38.0833,138.4333,9.86,52,37,2.44,JP,1711935382.4615822
174,san felipe,10.3399,-68.7425,21.64,87,84,1.52,VE,1711935382.9307148
175,klyuchi,52.2667,79.1667,2.03,74,100,4.15,RU,1711935383.529263
176,laojunmiao,39.8333,97.7333,6.73,38,99,1.73,CN,1711935384.0594182
177,salemi,37.8231,12.8056,24.88,41,71,6.04,IT,1711935384.574253
178,wickenburg,33.9686,-112.7296,12.6,73,54,6.01,US,1711935385.1665542
179,casper,42.8666,-106.3131,1.51,88,100,4.63,US,1711935386.1026099
180,freetown,8.484,-13.2299,26.84,78,83,4.12,SL,1711935386.5745869
181,embi,48.8264,58.1442,-0.67,91,59,1.88,KZ,1711935387.033818
182,holualoa,19.6228,-155.9522,24.91,81,40,4.63,US,1711935387.481941
183,mana,5.6592,-53.7767,26.34,86,72,3.82,GF,1711935388.020611
184,at taj,24.2049,23.2857,18.76,31,0,4.63,LY,1711935388.475586
185,goondiwindi,-28.55,150.3167,27.71,42,42,2.35,AU,1711935389.049301
186,sallent,41.8455,1.919,8.35,70,0,1.41,ES,1711935389.635453
187,villa gesell,-37.2639,-56.973,16.14,59,100,5.37,AR,1711935390.2317052
188,las heras,-46.5419,-68.9359,8.53,53,3,4.69,AR,1711935390.880048
189,geraldton,-28.7667,114.6,25.23,47,65,7.2,AU,1711935391.4531388
190,andergrove,-21.0833,149.1833,24.8,66,19,6.76,AU,1711935391.902712
191,carnarvon,-24.8667,113.6333,30.8,38,37,5.82,AU,1711935392.418126
192,arauca,7.0847,-70.7591,29.98,54,40,1.54,CO,1711935392.864235
193,lihue,21.9789,-159.3672,25.77,67,20,5.66,US,1711935393.322276
194,dongxing,45.3667,130.8,1.58,41,57,6.66,CN,1711935393.775118
195,thai nguyen,21.5928,105.8442,25.88,75,88,2.96,VN,1711935394.298201
196,dudinka,69.4058,86.1778,-29.62,100,100,1.79,RU,1711935394.777361
